cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
SN1970A	IC3476	12h32m41.88s	14d03m01.6s	IB(s)m	0.0961	2.7	10.68	-0.00063	16.5	0.62	49.6	7.59	0.832	9.0	33.99	30		14.564	13.306	12.836	12.6	12.474	-17.451
SN2011jm	NGC4809	12h54m51.06s	02d39m14.7s	Im pec	0.09083	1.8	9.35	0.00324	13.876	0.52	34.98	1.62	0.407	9.0	67.0	11		15.577	14.304	13.784	13.82	14.391	-17.526
SN2005at	NGC6744	19h09m46.10s	-63d51m27.1s	SAB(r)bc	0.11439	25.0	52.68	0.00286	12.244	0.73	43.33	1.74	0.646	4.0	51.63	14	NEW OBJ.	11.46	9.143	9.25	9.2642	7.63	-21.186
SN2006my	NGC4651	12h43m42.63s	16d23m36.2s	SA(rs)c	0.07161	4.73	26.95	0.00259	11.097	0.82	44.11	8.51	0.661	5.0	50.01	80		12.26	11.37	10.816	10.52	9.769	-20.879
SN1990Q	NGC5917	15h21m32.57s	-07d22m37.8s	Sb pec	0.25451	1.62	15.5	0.0064	27.405	0.37	49.16	2.19	0.589	3.0	56.76	75			13.81		13.6961	12.04	-19.268
SN1988E	NGC4772	12h53m29.16s	02d10m06.2s	SA(s)a	0.06758	3.39	26.65	0.0034	14.561	0.71	50.12	2.63	0.501	1.0	66.41	147		14.0	11.894	11.342	10.93	10.713	-20.64
SN2009md	NGC3389	10h48m27.91s	12d31m59.5s	SA(s)c	0.07254	2.9	18.54	0.00431	18.463	0.56	50.13	1.45	0.490	5.0	62.88	112		14.042	12.497	12.037	12.699	12.411	-19.665
NGC5643	NGC5643	14h32m40.74s	-44d10m27.9s	SAB(rs)c	0.44981	6.34	21.09	0.00393	16.835	0.63	51.42	3.24	0.871	5.0	30.11		NEW OBJ.	10.94	10.79	11.494	10.8573	9.037	-21.077
SN2009N	NGC4487	12h31m04.46s	-08d03m14.1s	SAB(rs)cd	0.05735	4.17	20.89	0.00345	14.758	0.73	52.23	4.57	0.676	5.0	48.8	75			11.783	11.45	11.946	10.547	-19.172
NGC1068	NGC1068	02h42m40.71s	-00d00m47.8s	(R)SA(rs)b	0.08959	9.0	27.7	0.00308	13.187	0.85	54.34	3.39	0.851	3.0	32.92	70		9.833	9.743	9.285	8.83	7.49	-20.643
SN1999br	NGC4900	13h00m39.25s	02d30m02.6s	SB(rs)c	0.06324	2.5	15.65	0.00325	13.936	0.87	58.78	2.95	0.933	5.0	21.56			13.576	11.894	11.364	11.13	11.375	-19.205
SN1997dn	NGC3451	10h54m20.89s	27d14m23.1s	Sd	0.05766	1.9	17.37	0.00433	18.561	0.66	59.39	3.39	0.479	7.0	62.75	50		14.645	13.501		12.49	12.707	-19.316
NGC4790	NGC4790	12h54m51.94s	-10d14m52.2s	SB(rs)c	0.12803	1.78	11.84	0.00455	19.487	0.64	60.46	2.76	0.646	5.0	51.2	90			12.407		12.12	11.42	-19.765
SN2001X	NGC5921	15h21m56.56s	05d04m13.9s	SB(r)bc	0.10664	5.3	26.78	0.00493	21.093	0.64	65.45	6.46	0.813	4.0	36.73	130	NEW OBJ.	14.236	11.681	11.021	10.79	11.099	-19.8
NGC5806	NGC5806	15h00m00.40s	01d53m28.7s	SAB(s)b	0.13578	3.16	22.7	0.00474	20.292	0.69	67.88	1.32	0.513	3.0	62.67	170		14.219	12.347	11.647	11.37	10.888	-19.859
SN2012ec	NGC1084	02h45m59.91s	-07d34m42.5s	SA(s)c	0.07099	3.36	18.65	0.00469	20.099	0.72	70.16	3.80	0.562	5.0	57.62	35		11.092	11.182	10.601	10.35	9.583	-20.233
SN2001el	NGC1448	03h44m31.92s	-44d38m41.4s	SAcd edge-on	0.0372	9.16	43.78	0.00372	15.928	0.98	75.67	2.82	0.224	6.0	82.11	41	NEW OBJ.	11.535	11.378	10.935	10.36	9.747	-21.32
SN2001fv	NGC3512	11h04m02.94s	28d02m12.5s	SAB(rs)c	0.07502	1.7	17.21	0.00463	19.833	0.89	85.58	2.14	0.933	5.0	21.56			14.521	13.004	12.294	12.064	11.716	-18.939
NGC7742	NGC7742	23h44m15.73s	10d46m01.5s	SA(r)b	0.14942	2.0	15.0	0.00553	23.692	0.78	89.59	1.18	1.000	3.0	0.0			12.306	12.286	11.576	11.401	11.04	-19.959
SN1978G	IC5201	22h20m57.44s	-46d02m09.1s	SB(rs)cd	0.03224	11.0	35.74	0.00311	13.332	1.4	90.49		0.457	5.0	65.25	33			11.384	11.37	11.6899	10.91	-19.307
SN2012Z	NGC1309	03h22m06.56s	-15d24m00.2s	SA(s)bc	0.10664	2.5	20.46	0.00721	30.891	0.62	92.85	1.18	0.933	4.0	21.69			11.793	11.963	11.58	12.5059	10.606	-20.949
SN2000P	NGC4965	13h07m09.38s	-28d13m41.5s	SAB(s)d	0.20305	3.65	40.96	0.0075	32.116	0.62	96.54	1.78	0.776	7.0	39.7		NEW OBJ.		12.785	12.41	12.6147	19.646	-20.249
NGC2906	NGC2906	09h32m06.22s	08d26m30.4s	Scd	0.12524	2.27	22.79	0.00733	31.393	0.73	111.1	2.63	0.589	6.0	55.22	75		15.355	13.173	13.282	12.358	11.785	-20.399
SN2008aq	MCG-02-33-20	12h50m29.41s	-10d51m15.9s	SB(s)m	0.12028	3.5	32.58	0.0079	33.821	0.71	116.42	3.09	0.457	9.0	63.69		NEW OBJ.	13.151	13.271	12.811	12.59	12.149	-20.365
ASASSN-14lp	NGC4666	12h45m08.59s	-00d27m42.8s	SABc	0.06603	7.16	35.5	0.00508	21.739	1.15	121.2	1.15	0.282	5.0	78.4	42		14.099	11.455	10.749	11.34	9.508	-20.296
NGC5584	NGC5584	14h22m23.77s	-00d23m15.6s	SABc	0.10447	3.5	22.14	0.00551	23.589	1.06	121.23	3.55	0.724	5.0	44.77	140		14.394	12.774		12.362	11.872	-19.878
SN2009mz	NGC5426	14h03m24.85s	-06d04m08.8s	SA(s)c pec	0.07564	3.2	29.92	0.00852	36.502	0.69	122.11	4.17	0.550	5.0	58.51	10	NEW OBJ.	12.617	12.707	12.164	12.76	12.4	-21.045
NGC4603	NGC4603	12h40m55.21s	-40d58m35.0s	SA(s)c	0.44733	4.5	46.53	0.00866	37.067	0.69	124.0	1.41	0.724	5.0	44.77	27		12.682	12.462	11.671	10.96	10.283	-21.326
NGC4981	NGC4981	13h08m48.74s	-06d46m39.1s	SAB(r)bc	0.11346	2.76	18.15	0.00551	23.577	1.11	126.88	1.23	0.741	4.0	43.6	155			12.043	11.41	10.91	10.455	-20.054
NGC4303	NGC4303	12h21m54.90s	04d28m25.1s	SAB(rs)bc	0.05983	6.6	28.07	0.00529	22.66	1.24	136.23	1.41	0.891	4.0	27.79			10.68	10.159	10.254	11.424	9.12	-20.433
SN2009bb	NGC3278	10h31m35.39s	-39d57m16.7s	SA(s)c	0.26257	1.75	20.41	0.00997	42.695	0.66	136.61	3.31	0.708	5.0	46.14	62			13.091	11.78	11.78	11.443	-20.588
NGC3256	NGC3256	10h27m51.27s	-43d54m13.5s	Sbc	0.32643	11.0	119.67	0.00929	39.791	0.75	144.68	3.80	0.562	4.0	58.16	100		12.016	12.096	11.579	10.62	11.9	-21.586
